Solution Label,Al 396.152 nm ppm,Ba - 233.527 nm ppm,Ca - 317.933 nm ppm,K - 766.491 nm ppm,Mg - 280.270 nm ppm,Mo - 277.540 nm ppm,Na - 588.495 nm ppm,Ni - 222.486 nm ppm,Ti - 334.941 nm ppm,Zn - 213.857 nm ppm,,,,
Blank,0,0,0,0,0,0,0,0,0,0,,,,
Standard 1,1,0.1,5,5,1,10,1,1,0.1,0.1,,,,
Standard 2,5,1,15,20,5,100,3,2,1,5,,,,
Standard 3,10,3,30,40,10,200,5,5,3,15,,,,
Continuing Calibration Blank,0.00 S,0.00 S,0.00 S,0.00 S,0.00 S,0.00 S,0.01 S,-0.01 S,0.00 S,0.00 S,,,,
Continuing Calibration Verification,6.95,1.52,20.01,25.12,6.99,129.43,2.41,0.48,1.51,7.02,,,,
AQ-345A,0.01,2.45,6.67,9.68,9.58,6.12,0.54,0.65,0.02,5.42,,,,
AQ-345B,0.01,2.01,6.95,9.83,8.54,6.38,0.56,4.62,0.01,6.58,,,,
LA-329A,2.56,0.02,5.46,11.47,4.25,7.73,0.65,2.22,0.01,2.47,,,,
LA-329B,2.48,0.02,9.51,12.86,6.48,10.23,0.75,0.98,0.02,0.09,,,,
RW-F82,8.96,1.12,6.68,10.21,7.65,6.14,0.57,0.74,0.03,0.01,,,,
L831,3.45,0.03,3.87,11.61,0.01,4.96,0.96,0.51,0.03,0.08,,,,
mystery sample,8.14,1.15,9.23,3.12,3.79,8.09,0.56,1.16,1.12,0.01,,,,
AW-382,0.04,2.35,8.74,10.52,6.24,7.95,0.48,1.01,0.02,2.58,,,,
AW-342A,0.03,2.33,8.23,12.22,2.15,7.38,0.66,4.45,0.01,0.05,,,,
unknown,4.21,0.01,4.12,5.01,0.09,3.75,0.36,2.05,0.01,6.59,,,,
Continuing Calibration Blank,0.00 S,0.00 S,0.00 S,0.00 S,0.00 S,0.00 S,0.01 S,0.00 S,0.00 S,0.00 S,,,,
Continuing Calibration Verification,6.98,1.51,19.77,25.13,6.88,127.06,2.43,3.02,1.5,7.04,,,,
LA-829,4.78,0.02,0.02,10.92,0.87,39.03,0.53,0.74,0.05,0.16,,,,
LA-830,4.98,0.01,0.02,9.73,5.14,34.14,0.46,0.02,0.02,4.15,,,,
RW-392,9.54,1.05,3.87,9.92,7.26,4.85,0.66,0.84,0.02,5.28,,,,
RW-393,9.38,1.04,4.36,11.06,5.38,5.44,0.73,0.01,1.13,3.79,,,,
AW-320,0.01,2.78,8.49,10.12,0.78,7.25,0.68,3.85,0.03,4.14,,,,
AW-321,0.02,2.98,7.78,10.57,1.56,7.18,0.79,2.25,1.45,0.08,,,,
AW-322,0.02,2.55,5.73,6.62,9.48,5.07,0.01,0.06,1.69,0.78,,,,
LA-210C,3.01,0.03,10.17,2.19,5.49,5.49,0.54,0.99,0.01,0.51,,,,
LA-221A,3.24,0.01,3.75,9.49,5.48,4.53,0.63,2.87,0.01,2.98,,,,
RI-243,8.88,1.06,4.08,10.26,4.65,4.94,0.68,3.31,0.02,3.75,,,,
Continuing Calibration Blank,0.00 S,0.00 S,0.00 S,0.00 S,0.00 S,0.00 S,0.01 S,0.00 S,0.00 S,0.00 S,,,,
Continuing Calibration Verification,7.01,1.5,19.75,25.04,6.85,127,2.42,3.01,1.51,7.06,,,,
